search_term	match_term	match_type	gene	drug	interaction_types	sources	pmids
BORTEZOMIB	BORTEZOMIB	Definite	PSMD7	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMD4	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMA2	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMC4	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMB8	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	F12	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	PRB2	BORTEZOMIB	""	TTD	""
BORTEZOMIB	BORTEZOMIB	Definite	PLAT	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	PRSS1	BORTEZOMIB	""	DTC|TTD	20875739
BORTEZOMIB	BORTEZOMIB	Definite	PSME1	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	KLK4	BORTEZOMIB	""	TTD	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMD10	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMD5	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMA6	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMD1	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|TdgClinicalTrial|ChemblInteractions|TEND	24524217
BORTEZOMIB	BORTEZOMIB	Definite	CAPN1	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	BAX	BORTEZOMIB	inhibitor	TALC	""
BORTEZOMIB	BORTEZOMIB	Definite	PSME2	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMA4	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	BCL2L2	BORTEZOMIB	""	NCI	15813915
BORTEZOMIB	BORTEZOMIB	Definite	PSMC5	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMB6	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMB7	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMB4	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMB9	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSME4	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	FLT3	BORTEZOMIB	inhibitor	MyCancerGenomeClinicalTrial	""
BORTEZOMIB	BORTEZOMIB	Definite	XIAP	BORTEZOMIB	""	NCI	15813915
BORTEZOMIB	BORTEZOMIB	Definite	BCL2	BORTEZOMIB	inhibitor	TALC	""
BORTEZOMIB	BORTEZOMIB	Definite	TP53	BORTEZOMIB	inhibitor	TALC|CIViC	28679691
BORTEZOMIB	BORTEZOMIB	Definite	HSPA4	BORTEZOMIB	""	NCI	16846475
BORTEZOMIB	BORTEZOMIB	Definite	SEM1	BORTEZOMIB	inhibitor	DTC|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	CTSL	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	PSMB11	BORTEZOMIB	inhibitor	DTC|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	CTSB	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	PRSS2	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	FGFR3	BORTEZOMIB	""	DoCM	26619011|19331127|20542753|19381019|21273588|22869148|25157968
BORTEZOMIB	BORTEZOMIB	Definite	NFKB1	BORTEZOMIB	""	ClearityFoundationClinicalTrial	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMF1	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PIPSL	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	AR	BORTEZOMIB	""	DTC	""
BORTEZOMIB	BORTEZOMIB	Definite	CTLA4	BORTEZOMIB	""	PharmGKB	21228734
BORTEZOMIB	BORTEZOMIB	Definite	PSMD10P1	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	F2	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	NFE2L2	BORTEZOMIB	""	DTC	""
BORTEZOMIB	BORTEZOMIB	Definite	DDIT3	BORTEZOMIB	""	NCI	16357160
BORTEZOMIB	BORTEZOMIB	Definite	PIK3CA	BORTEZOMIB	""	JAX-CKB	21216929
BORTEZOMIB	BORTEZOMIB	Definite	E2F1	BORTEZOMIB	""	NCI	11489836
BORTEZOMIB	BORTEZOMIB	Definite	PRSS3	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	CCND1	BORTEZOMIB	""	CIViC	20578819
DOCETAXEL	DOCETAXEL	Ambiguous	FBXW7	DOCETAXEL	""	JAX-CKB	23274910
DOCETAXEL	DOCETAXEL	Ambiguous	NR1I2	DOCETAXEL	binder	PharmGKB	24193570|15492266
DOCETAXEL	DOCETAXEL	Ambiguous	RNF8	DOCETAXEL	""	PharmGKB	30071039
DOCETAXEL	DOCETAXEL	Ambiguous	AKR1C3	DOCETAXEL	""	PharmGKB	23116553
DOCETAXEL	DOCETAXEL	Ambiguous	EGFR	DOCETAXEL	""	PharmGKB	21783417|22285168
DOCETAXEL	DOCETAXEL	Ambiguous	CYP4B1	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	XRCC1	DOCETAXEL	""	CIViC	19157633
DOCETAXEL	DOCETAXEL	Ambiguous	TLE3	DOCETAXEL	""	ClearityFoundationBiomarkers	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUB	DOCETAXEL	""	TTD	""
DOCETAXEL	DOCETAXEL	Ambiguous	SPG7	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	EPHX1	DOCETAXEL	""	PharmGKB	20157331
DOCETAXEL	DOCETAXEL	Ambiguous	TP53	DOCETAXEL	""	JAX-CKB|CIViC	21399868|22425996
DOCETAXEL	DOCETAXEL	Ambiguous	CYP19A1	DOCETAXEL	""	PharmGKB	""
DOCETAXEL	DOCETAXEL	Ambiguous	GAS6	DOCETAXEL	""	CIViC	27153245
DOCETAXEL	DOCETAXEL	Ambiguous	CYP3A5	DOCETAXEL	""	PharmGKB	21151855
DOCETAXEL	DOCETAXEL	Ambiguous	HRAS	DOCETAXEL	""	NCI	16983095
DOCETAXEL	DOCETAXEL	Ambiguous	CYP1B1	DOCETAXEL	""	PharmGKB	21151855
DOCETAXEL	DOCETAXEL	Ambiguous	RAF1	DOCETAXEL	""	PharmGKB	21636554
DOCETAXEL	DOCETAXEL	Ambiguous	RRM1	DOCETAXEL	""	CIViC	24647522
DOCETAXEL	DOCETAXEL	Ambiguous	PGR	DOCETAXEL	""	PharmGKB|FDA	""
DOCETAXEL	DOCETAXEL	Ambiguous	PGP	DOCETAXEL	""	ClearityFoundationBiomarkers	""
DOCETAXEL	DOCETAXEL	Ambiguous	ORM2	DOCETAXEL	""	PharmGKB	24619498
DOCETAXEL	DOCETAXEL	Ambiguous	VAC14	DOCETAXEL	""	PharmGKB	""
DOCETAXEL	DOCETAXEL	Ambiguous	ERBB3	DOCETAXEL	""	PharmGKB	30071039
DOCETAXEL	DOCETAXEL	Ambiguous	MCL1	DOCETAXEL	""	NCI	16969094
DOCETAXEL	DOCETAXEL	Ambiguous	STK11	DOCETAXEL	""	CIViC	22425996
DOCETAXEL	DOCETAXEL	Ambiguous	RXRA	DOCETAXEL	""	PharmGKB	24193570
DOCETAXEL	DOCETAXEL	Ambiguous	ACSS2	DOCETAXEL	""	PharmGKB	21636554
DOCETAXEL	DOCETAXEL	Ambiguous	OPRM1	DOCETAXEL	""	PharmGKB	23963862
DOCETAXEL	DOCETAXEL	Ambiguous	BCL2	DOCETAXEL	""	TdgClinicalTrial|PharmGKB	17674353|15277270|15161985|15643508|15714982|23963862|15685445
DOCETAXEL	DOCETAXEL	Ambiguous	ERBB2	DOCETAXEL	""	JAX-CKB|CIViC|PharmGKB	30452336|22149875|23801166|27052654|25693012|30071039|25185099
DOCETAXEL	DOCETAXEL	Ambiguous	ESR2	DOCETAXEL	""	PharmGKB	""
DOCETAXEL	DOCETAXEL	Ambiguous	FOLH1	DOCETAXEL	inhibitor	ClearityFoundationClinicalTrial|CancerCommons	""
DOCETAXEL	DOCETAXEL	Ambiguous	ATP7A	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	NAT2	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	MAP3K1	DOCETAXEL	""	PharmGKB	21636554
DOCETAXEL	DOCETAXEL	Ambiguous	MDM4	DOCETAXEL	""	PharmGKB	24958282
DOCETAXEL	DOCETAXEL	Ambiguous	RPL13	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	ABCG2	DOCETAXEL	""	PharmGKB	21151855
DOCETAXEL	DOCETAXEL	Ambiguous	SLCO1B1	DOCETAXEL	""	NCI|PharmGKB	27234217|16210916
DOCETAXEL	DOCETAXEL	Ambiguous	MUC16	DOCETAXEL	""	NCI	9288793|14756546
DOCETAXEL	DOCETAXEL	Ambiguous	PPCDC	DOCETAXEL	""	PharmGKB	""
DOCETAXEL	DOCETAXEL	Ambiguous	GSTM1	DOCETAXEL	""	NCI	16765145
DOCETAXEL	DOCETAXEL	Ambiguous	CHST3	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	IGF2	DOCETAXEL	""	CIViC	25670080
DOCETAXEL	DOCETAXEL	Ambiguous	ABCB1	DOCETAXEL	""	PharmGKB	21151855
DOCETAXEL	DOCETAXEL	Ambiguous	ABCC1	DOCETAXEL	""	PharmGKB	21151855
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB1	DOCETAXEL	""	TdgClinicalTrial|TEND	18559268|15161985|11309480|15698529
DOCETAXEL	DOCETAXEL	Ambiguous	ERCC1	DOCETAXEL	""	PharmGKB	25495407
DOCETAXEL	DOCETAXEL	Ambiguous	ESR1	DOCETAXEL	""	PharmGKB|FDA	""
DOCETAXEL	DOCETAXEL	Ambiguous	CYP2A6	DOCETAXEL	""	PharmGKB	19604090
DOCETAXEL	DOCETAXEL	Ambiguous	SLCO1B3	DOCETAXEL	""	PharmGKB	21151855|18294295
DOCETAXEL	DOCETAXEL	Ambiguous	NR1I3	DOCETAXEL	""	PharmGKB	27561454|24193570
DOCETAXEL	DOCETAXEL	Ambiguous	KLK3	DOCETAXEL	""	NCI	10687988|15864591
DOCETAXEL	DOCETAXEL	Ambiguous	GSTP1	DOCETAXEL	""	NCI	10639573
DOCETAXEL	DOCETAXEL	Ambiguous	BAX	DOCETAXEL	""	NCI	15641988
DOCETAXEL	DOCETAXEL	Ambiguous	VEGFA	DOCETAXEL	""	PharmGKB	25111199|24061601|26100253
DOCETAXEL	DOCETAXEL	Ambiguous	SULT1C4	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	CYP1A1	DOCETAXEL	""	PharmGKB	22426923
DOCETAXEL	DOCETAXEL	Ambiguous	ABCC6	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	CASP7	DOCETAXEL	""	PharmGKB	22441531
DOCETAXEL	DOCETAXEL	Ambiguous	KRAS	DOCETAXEL	""	JAX-CKB|CIViC	23200175|27876675|26125448|28492898
DOCETAXEL	DOCETAXEL	Ambiguous	ERCC2	DOCETAXEL	""	PharmGKB	25495407
DOCETAXEL	DOCETAXEL	Ambiguous	HNF4A	DOCETAXEL	""	PharmGKB	24193570
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB3	DOCETAXEL	""	ClearityFoundationBiomarkers	""
DOCETAXEL	DOCETAXEL	Ambiguous	PPARD	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	XRCC4	DOCETAXEL	""	PharmGKB	20157331
DOCETAXEL	DOCETAXEL	Ambiguous	NOTCH1	DOCETAXEL	""	JAX-CKB	26202948
DOCETAXEL	DOCETAXEL	Ambiguous	BIRC5	DOCETAXEL	""	ClearityFoundationBiomarkers	""
DOCETAXEL	DOCETAXEL	Ambiguous	PRDX4	DOCETAXEL	""	PharmGKB	20157331
DOCETAXEL	DOCETAXEL	Ambiguous	BARD1	DOCETAXEL	""	PharmGKB	30071039
DOCETAXEL	DOCETAXEL	Ambiguous	SOX10	DOCETAXEL	""	PharmGKB	23963862
DOCETAXEL	DOCETAXEL	Ambiguous	SNORD68	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	SLC10A2	DOCETAXEL	""	PharmGKB	20038957
DOCETAXEL	DOCETAXEL	Ambiguous	PIK3CA	DOCETAXEL	""	PharmGKB	20157331
DOCETAXEL	DOCETAXEL	Ambiguous	BRD4	DOCETAXEL	""	NCI	16542442
DOCETAXEL	DOCETAXEL	Ambiguous	ABCC2	DOCETAXEL	""	PharmGKB	21151855|23188068|18294295
DOCETAXEL	DOCETAXEL	Ambiguous	FGFR1	DOCETAXEL	""	CIViC	30807645
DOCETAXEL	DOCETAXEL	Ambiguous	TUBA3D	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBA4A	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBA1B	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBA3E	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB8	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB2B	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB4B	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBA1A	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBA1C	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB3	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB6	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB2A	DOCETAXEL	inhibitor	ChemblInteractions	""
DOCETAXEL	DOCETAXEL	Ambiguous	TUBB1	DOCETAXEL	inhibitor	ChemblInteractions	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	TOP1	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC|PharmGKB|TTD	25003995|22647222|25768699|21783369|23622981|17190463|19530720|25835359
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC4	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC2	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC11	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC1	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC8	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	UGT1A3	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	UGT1A6	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	UGT1A1	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	25427841|16636344|19364970|19852077|17577039|27116457|18349289|17627617|12181437|17058217|17185998|12969965|1651156|18466101|14647407|20562211|19390945|17728214|12019197|18221820|11990381|15179405|10381366|16951398|15007088|11037804
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC9	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	UGT1A10	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	ABCG2	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	UGT1A8	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC7	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	ABCB1	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	ABCC2	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	CES1	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	SLCO1B1	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	18221820
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	ABCC1	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	27845419
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC10	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	UGT1A4	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC5	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC3	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	UGT1A9	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	16636344|24897286|12181437|18221820
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	HDAC6	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	DTC	23622981
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	BCHE	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
SN-38	7-ETHYL-10-HYDROXYCAMPTOTHECIN	Definite	CES2	7-ETHYL-10-HYDROXYCAMPTOTHECIN	""	PharmGKB	""
CAMPTOTHECIN	CAMPTOTHECIN	Definite	MAPK9	CAMPTOTHECIN	""	NCI	10839298
CAMPTOTHECIN	CAMPTOTHECIN	Definite	CYP3A4	CAMPTOTHECIN	""	DTC	""
CAMPTOTHECIN	CAMPTOTHECIN	Definite	HIF1A	CAMPTOTHECIN	""	DTC	""
CAMPTOTHECIN	CAMPTOTHECIN	Definite	EHMT2	CAMPTOTHECIN	""	DTC	""
CAMPTOTHECIN	CAMPTOTHECIN	Definite	XRCC5	CAMPTOTHECIN	""	NCI	16230379
CAMPTOTHECIN	CAMPTOTHECIN	Definite	TOP1	CAMPTOTHECIN	""	DTC|TdgClinicalTrial|ClearityFoundationClinicalTrial|TTD	24529870|19783447|15509164|20155916|22867019|24099994|25913198|20494586|25240093|25003995|21388138|22647222|26216018|21600681|21095131|23920485|21823606|22867097|20942490|26312433|11000035|19386396|24103429|23603616|23849207|25909279|25282261|25815139|23987476|24094433|19691293|22329436|19715319|18056711|10592235|1324981|11752352|23202849|25799376|17827007|20630766|25244612|9632354|25626146|23321564|22503207|17276690|18061144|24502276|25317694
CAMPTOTHECIN	CAMPTOTHECIN	Definite	ATXN2	CAMPTOTHECIN	""	DTC	""
CAMPTOTHECIN	CAMPTOTHECIN	Definite	HNRNPA1	CAMPTOTHECIN	""	DTC	22071521
CAMPTOTHECIN	CAMPTOTHECIN	Definite	MCL1	CAMPTOTHECIN	""	DTC|NCI	8938795|22386982
CAMPTOTHECIN	CAMPTOTHECIN	Definite	HBB	CAMPTOTHECIN	""	DTC	""
CAMPTOTHECIN	CAMPTOTHECIN	Definite	PIK3CB	CAMPTOTHECIN	""	NCI	12464623
CAMPTOTHECIN	CAMPTOTHECIN	Definite	ABCB1	CAMPTOTHECIN	""	NCI	9918583
